,Movie,Producer,Distributor,Screen,Sales,Audience,Genre,Rate,Year,Month,Season,genre_encoded,log_sales,log_audience,log_screen
42,청년경찰,김주환,롯데쇼핑㈜롯데엔터테인먼트,1102,44241099316,5636259,액션,1,2017,8,3,15,24.513,15.545,7.006
43,숨바꼭질,허정,(주)넥스트엔터테인먼트월드(NEW),779,39593038500,5602543,스릴러,1,2013,8,3,13,24.402,15.539,6.659
44,덕혜옹주,허진호,롯데쇼핑㈜롯데엔터테인먼트,964,44344141109,5593551,사극,0,2016,8,3,11,24.515,15.537,6.872
45,더 테러 라이브,김병우,롯데쇼핑㈜롯데엔터테인먼트,743,39866712881,5583596,범죄,1,2013,7,3,10,24.409,15.535,6.612
46,의형제,장훈,(주)쇼박스,572,40800867602,5507106,드라마,1,2010,2,1,6,24.432,15.522,6.351
47,감시자들,"조의석,김병서",(주)넥스트엔터테인먼트월드(NEW),949,39298005179,5496547,범죄,1,2013,7,3,10,24.394,15.52,6.856
48,검은 사제들,장재현,씨제이이앤엠(주),1088,42395347092,5440945,미스터리,1,2015,11,4,9,24.47,15.509,6.993
49,안시성,김광식,(주)넥스트엔터테인먼트월드(NEW),1540,46335334026,5440186,사극,0,2018,9,4,11,24.559,15.509,7.34
50,완득이,이한,씨제이이앤엠(주),500,38530503500,5310510,드라마,0,2011,10,4,6,24.375,15.485,6.217
51,완벽한 타인,이재규,롯데컬처웍스(주)롯데엔터테인먼트,1313,44356752474,5294119,드라마,1,2018,10,4,6,24.516,15.482,7.181
52,타워,김지훈,씨제이이앤엠(주),617,37654858000,5181014,드라마,0,2012,12,1,6,24.352,15.461,6.426
53,독전,이해영,(주)넥스트엔터테인먼트월드(NEW),1357,43484892913,5063620,범죄,1,2018,5,2,10,24.496,15.438,7.214
54,공작,윤종빈,씨제이이앤엠(주),1317,42759410176,4971261,드라마,0,2018,8,3,6,24.479,15.419,7.184
55,마스터,조의석,씨제이이앤엠(주),1501,39811539665,4940091,액션,1,2016,12,1,15,24.407,15.413,7.315
56,바람과 함께 사라지다,김주호,(주)넥스트엔터테인먼트월드(NEW),694,34524377161,4897551,코미디,0,2012,8,3,18,24.265,15.404,6.544
57,조선명탐정 : 각시투구꽃의 비밀,김석윤,(주)쇼박스,611,35841769500,4786259,코미디,0,2011,1,1,18,24.302,15.381,6.417
58,봉오동 전투,원신연,(주)쇼박스,1476,40514276538,4779501,사극,1,2019,8,3,11,24.425,15.38,7.298
59,군도: 민란의 시대,윤종빈,(주)쇼박스,1394,36987755999,4774895,사극,1,2014,7,3,11,24.334,15.379,7.241
60,범죄와의 전쟁: 나쁜놈들 전성시대,윤종빈,(주)쇼박스,699,36479147500,4710454,범죄,3,2012,2,1,10,24.32,15.365,6.551
61,신세계,박훈정,(주)넥스트엔터테인먼트월드(NEW),671,34881330905,4682492,범죄,3,2013,2,1,10,24.275,15.359,6.51
62,도가니,황동혁,씨제이이앤엠(주),644,35566854800,4662822,드라마,3,2011,9,4,6,24.295,15.355,6.469
63,내 아내의 모든 것,민규동,(주)넥스트엔터테인먼트월드(NEW),563,34222160500,4598583,코미디,1,2012,5,2,18,24.256,15.341,6.335
64,나쁜 녀석들: 더 무비,손용호,씨제이이앤엠(주),1511,39560195124,4573902,범죄,1,2019,9,4,10,24.401,15.336,7.321
65,연가시,박정우,씨제이이앤엠(주),759,32154766664,4513026,공포(호러),1,2012,7,3,3,24.194,15.322,6.633
66,강철비,양우석,(주)넥스트엔터테인먼트월드(NEW),1426,35477912466,4451336,액션,1,2017,12,1,15,24.292,15.309,7.263
67,판도라,박정우,(주)넥스트엔터테인먼트월드(NEW),1166,33861718164,4302032,드라마,0,2016,12,1,6,24.246,15.275,7.062
68,아가씨,박찬욱,씨제이이앤엠(주),1171,35114332791,4277071,스릴러,3,2016,6,3,13,24.282,15.269,7.066
69,용의자,원신연,(주)쇼박스,807,30037161000,4131248,액션,1,2013,12,1,15,24.126,15.234,6.695
70,건축학개론,이용주,롯데쇼핑㈜롯데엔터테인먼트,593,30219800500,4110645,멜로/로맨스,0,2012,3,2,7,24.132,15.229,6.387
71,7급 공무원,신태라,롯데쇼핑㈜롯데엔터테인먼트,475,26701311856,4088799,코미디,0,2009,4,2,18,24.008,15.224,6.165
72,댄싱퀸,이석훈,씨제이이앤엠(주),534,30129259500,4057546,코미디,0,2012,1,1,18,24.129,15.216,6.282
73,꾼,장창원,(주)쇼박스,1314,31313568795,4018341,범죄,1,2017,11,4,10,24.167,15.206,7.182
74,타짜-신의 손,강형철,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",890,32267244827,4001813,드라마,3,2014,9,4,6,24.197,15.202,6.792
75,박수건달,조진규,(주)쇼박스,599,28343986569,3893216,코미디,1,2013,1,1,18,24.068,15.175,6.397
76,과속스캔들,강형철,롯데쇼핑㈜롯데엔터테인먼트,405,25486062201,3892350,코미디,0,2008,12,1,18,23.961,15.175,6.006
77,조선명탐정 : 사라진 놉의 딸,김석윤,(주)쇼박스,811,30456879428,3872015,사극,0,2015,2,1,11,24.14,15.169,6.7
78,역린,이재규,롯데쇼핑㈜롯데엔터테인먼트,1054,29893297890,3849433,사극,1,2014,4,2,11,24.121,15.163,6.961
79,남한산성,황동혁,씨제이이앤엠(주),1229,31067321992,3829891,사극,1,2017,10,4,11,24.159,15.158,7.115
80,암수살인,김태균,(주)쇼박스,1177,32855895548,3772620,범죄,1,2018,10,4,10,24.215,15.143,7.072
81,국가부도의 날,최국희,씨제이이앤엠(주),1180,30891765837,3754983,드라마,0,2018,11,4,6,24.154,15.139,7.074
82,82년생 김지영,김도영,롯데컬처웍스(주)롯데엔터테인먼트,1486,30298542310,3678156,드라마,0,2019,10,4,6,24.134,15.118,7.305
83,귀향,조정래,(주)와우픽쳐스,876,27245051990,3586523,드라마,1,2016,2,1,6,24.028,15.093,6.777
84,신의 한 수,조범구,(주)쇼박스,794,28777712256,3562123,범죄,3,2014,7,3,10,24.083,15.086,6.678
85,부러진 화살,정지영,(주)넥스트엔터테인먼트월드(NEW),453,25878110500,3450941,드라마,1,2012,1,1,6,23.977,15.054,6.118
86,끝까지 간다,김성훈,(주)쇼박스,645,27006007900,3450143,액션,1,2014,5,2,15,24.019,15.054,6.471
87,스파이,이승준,씨제이이앤엠(주),785,24436429305,3423920,액션,1,2013,9,4,15,23.919,15.046,6.667
88,그것만이 내 세상,최성현,씨제이이앤엠(주),862,27441213382,3417629,코미디,0,2018,1,1,18,24.035,15.044,6.76
89,이끼,강우석,씨제이엔터테인먼트,736,25856306126,3408144,드라마,3,2010,7,3,6,23.976,15.042,6.603
90,돈,박누리,(주)쇼박스,1431,28869614062,3389035,범죄,1,2019,3,2,10,24.086,15.036,7.267
91,포화속으로,이재한,롯데쇼핑㈜롯데엔터테인먼트,736,24217600897,3385706,드라마,0,2010,6,3,6,23.91,15.035,6.603
92,악인전,이원태,"(주)에이스메이커무비웍스,(주)키위미디어그룹",1307,29128292150,3364079,범죄,3,2019,5,2,10,24.095,15.029,7.176
93,쌍화점,유하,(주)쇼박스,499,22711932935,3328944,드라마,3,2008,12,1,6,23.846,15.018,6.215
94,아이 캔 스피크,김현석,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",1140,25532214986,3280243,코미디,0,2017,9,4,18,23.963,15.003,7.04
95,마녀,박훈정,워너브러더스 코리아(주),1117,27242029463,3189091,미스터리,1,2018,6,3,9,24.028,14.975,7.019
96,탐정: 리턴즈,이언희,씨제이이앤엠(주),1041,26865721678,3148038,코미디,1,2018,6,3,18,24.014,14.962,6.949
97,퀵,조범구,씨제이이앤엠(주),512,22960890000,3125069,코미디,1,2011,7,3,18,23.857,14.955,6.24
98,감기,김성수,아이러브시네마,806,21784202000,3119023,드라마,1,2013,8,3,6,23.804,14.953,6.693
99,하모니,강대규,씨제이엔터테인먼트,405,21992266198,3068544,드라마,0,2010,1,1,6,23.814,14.937,6.006
100,거북이 달린다,이연우,(주)쇼박스,379,20857347292,3059812,드라마,1,2009,6,3,6,23.761,14.934,5.94
101,스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),926,23558988686,3044134,코미디,1,2015,3,2,18,23.883,14.929,6.832
102,방자전,김대우,씨제이엔터테인먼트,512,22853629794,3035116,사극,3,2010,6,3,11,23.852,14.926,6.24
103,마더,봉준호,씨제이엔터테인먼트,648,20195373838,3013523,드라마,3,2009,5,2,6,23.729,14.919,6.475
104,오싹한 연애,황인호,씨제이이앤엠(주),469,21965313000,3001530,공포(호러),0,2011,12,1,3,23.813,14.915,6.153
105,형,권수경,씨제이이앤엠(주),993,23113768293,2979659,코미디,0,2016,11,4,18,23.864,14.907,6.902
106,친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,968,21804687513,2971475,액션,3,2013,11,4,15,23.805,14.905,6.876
107,26년,조근현,"(주)인벤트스톤,영화사청어람(주)",604,21241327145,2963449,액션,1,2012,11,4,15,23.779,14.902,6.405
108,공조,김성훈,씨제이이앤엠(주),976,23918185757,2957330,액션,1,2017,1,1,15,23.898,14.9,6.884
109,고지전,장훈,(주)쇼박스,585,21968557600,2945137,드라마,1,2011,7,3,6,23.813,14.896,6.373
110,프리즌,나현,(주)쇼박스,1047,23790276987,2931897,범죄,3,2017,3,2,10,23.893,14.891,6.955
111,가장 보통의 연애,김한결,(주)넥스트엔터테인먼트월드(NEW),1073,24822316930,2917213,멜로/로맨스,1,2019,10,4,7,23.935,14.886,6.979
112,헬로우 고스트,김영탁,(주)넥스트엔터테인먼트월드(NEW),472,21154651779,2897477,코미디,0,2010,12,1,18,23.775,14.879,6.159
113,극비수사,곽경택,(주)쇼박스,894,22389535897,2860786,드라마,1,2015,6,3,6,23.832,14.867,6.797
114,표적,창,씨제이이앤엠(주),665,22256359300,2841788,액션,1,2014,4,2,15,23.826,14.86,6.501
115,너의 결혼식,이석근,메가박스중앙(주)플러스엠,962,23670604369,2820029,멜로/로맨스,0,2018,8,3,7,23.887,14.852,6.87
116,말모이,엄유나,롯데컬처웍스(주)롯데엔터테인먼트,1203,23682638520,2812444,드라마,0,2019,1,1,6,23.888,14.85,7.093
117,부당거래,류승완,씨제이엔터테인먼트,502,21326977937,2766436,범죄,3,2010,10,4,10,23.783,14.833,6.221
118,시라노; 연애조작단,김현석,롯데쇼핑㈜롯데엔터테인먼트,402,20171151599,2731828,멜로/로맨스,0,2010,9,4,7,23.728,14.82,5.999
119,내가 살인범이다,정병길,(주)쇼박스,547,20338948000,2721903,액션,3,2012,11,4,15,23.736,14.817,6.306
120,곤지암,정범식,(주)쇼박스,1124,21442114144,2675559,공포(호러),1,2018,3,2,3,23.789,14.8,7.026
121,소원,이준익,롯데쇼핑㈜롯데엔터테인먼트,641,18251983100,2663170,드라마,0,2013,10,4,6,23.628,14.795,6.465
122,살인자의 기억법,원신연,(주)쇼박스,1064,21361479492,2656694,범죄,1,2017,9,4,10,23.785,14.793,6.971
123,탐정 : 더 비기닝,김정훈,씨제이이앤엠(주),764,20463956973,2625686,코미디,1,2015,9,4,18,23.742,14.781,6.64
124,후궁 : 제왕의 첩,김대승,롯데쇼핑㈜롯데엔터테인먼트,624,19250354500,2621436,사극,3,2012,6,3,11,23.681,14.779,6.438
125,지금 만나러 갑니다,이장훈,롯데쇼핑㈜롯데엔터테인먼트,1163,20800916128,2602273,멜로/로맨스,0,2018,3,2,7,23.758,14.772,7.06
126,위험한 상견례,김진영,롯데쇼핑㈜롯데엔터테인먼트,524,19174920500,2595625,코미디,0,2011,3,2,18,23.677,14.769,6.263
127,아수라,김성수,씨제이이앤엠(주),1278,20576226662,2594028,범죄,3,2016,9,4,10,23.747,14.769,7.154
128,굿모닝 프레지던트,장진,씨제이엔터테인먼트,586,18770889320,2583294,코미디,2,2009,10,4,18,23.656,14.765,6.375
129,보안관,김형주,롯데쇼핑㈜롯데엔터테인먼트,1091,20697532509,2571491,범죄,1,2017,5,2,10,23.753,14.76,6.996
130,기술자들,김홍선,롯데쇼핑㈜롯데엔터테인먼트,641,19894297783,2564340,범죄,1,2014,12,1,10,23.714,14.757,6.465
131,시동,최정열,(주)넥스트엔터테인먼트월드(NEW),1515,21236477800,2525986,드라마,1,2019,12,1,6,23.779,14.742,7.324
132,목격자,조규장,(주)넥스트엔터테인먼트월드(NEW),1021,21732042597,2524086,스릴러,1,2018,8,3,13,23.802,14.741,6.93
133,증인,이한,롯데컬처웍스(주)롯데엔터테인먼트,1047,20312348931,2516128,드라마,0,2019,2,1,6,23.734,14.738,6.955
134,조작된 도시,박광현,씨제이이앤엠(주),1019,20119979587,2512572,범죄,1,2017,2,1,10,23.725,14.737,6.928
135,반창꼬,정기훈,(주)넥스트엔터테인먼트월드(NEW),466,17883988787,2471721,멜로/로맨스,1,2012,12,1,7,23.607,14.72,6.146
136,블랙머니,정지영,(주)에이스메이커무비웍스,1117,20744296510,2464978,범죄,0,2019,11,4,10,23.756,14.718,7.019
137,화차,변영주,필라멘트픽쳐스,548,18450760000,2435211,미스터리,1,2012,3,2,9,23.638,14.706,6.308
138,이웃사람,김휘,롯데쇼핑㈜롯데엔터테인먼트,600,18087442369,2434099,스릴러,3,2012,8,3,13,23.618,14.705,6.399
139,조선명탐정: 흡혈괴마의 비밀,김석윤,(주)쇼박스,1249,19690818764,2424330,사극,0,2018,2,1,11,23.703,14.701,7.131
140,재심,김태윤,"오퍼스픽쳐스(유),CGV아트하우스",935,19263100637,2420729,드라마,1,2017,2,1,6,23.681,14.7,6.842
141,사바하,장재현,씨제이이앤엠(주),1174,20002183194,2397792,미스터리,1,2019,2,1,9,23.719,14.69,7.069
142,의뢰인,손영성,(주)쇼박스,522,17797042500,2393086,스릴러,1,2011,9,4,13,23.602,14.688,6.26
143,화이: 괴물을 삼킨 아이,장준환,(주)쇼박스,817,17678676795,2391963,액션,3,2013,10,4,15,23.596,14.688,6.707
144,가문의 영광4 - 가문의 수난,정태원,(주)넥스트엔터테인먼트월드(NEW),537,17762035500,2363955,코미디,1,2011,9,4,18,23.6,14.676,6.288
145,블라인드,안상훈,(주)넥스트엔터테인먼트월드(NEW),404,18361430500,2362906,스릴러,3,2011,8,3,13,23.634,14.675,6.004
146,박열,이준익,메가박스중앙(주)플러스엠,1176,18093543795,2359174,드라마,0,2017,6,3,6,23.619,14.674,7.071
147,라스트 갓파더,심형래,씨제이엔터테인먼트,547,16832542997,2316099,코미디,0,2010,12,1,18,23.547,14.655,6.306
148,하녀,임상수,(주)싸이더스,577,17310669976,2304487,스릴러,3,2010,5,2,13,23.575,14.65,6.36
149,박쥐,박찬욱,씨제이엔터테인먼트,462,15051788827,2237271,공포(호러),3,2009,4,2,3,23.435,14.621,6.138
150,7광구,김지훈,씨제이이앤엠(주),812,19314027000,2232179,SF,1,2011,8,3,0,23.684,14.618,6.701
151,타짜: 원 아이드 잭,권오광,롯데컬처웍스(주)롯데엔터테인먼트,1429,19673441214,2227671,범죄,3,2019,9,4,10,23.703,14.616,7.265
152,마당을 나온 암탉,오성윤,롯데쇼핑㈜롯데엔터테인먼트,345,14656535500,2199048,애니메이션,2,2011,7,3,14,23.408,14.604,5.846
153,악의 연대기,백운학,씨제이이앤엠(주),776,17360123332,2192243,스릴러,1,2015,5,2,13,23.577,14.6,6.655
154,강남 1970,유하,(주)쇼박스,841,17717971499,2192172,액션,3,2015,1,1,15,23.598,14.6,6.736
155,황해,나홍진,"(주)쇼박스,이십세기폭스코리아(주)",618,16765970362,2167426,스릴러,3,2010,12,1,13,23.543,14.589,6.428
156,초능력자,김민석,(주)넥스트엔터테인먼트월드(NEW),622,15618440958,2164805,SF,1,2010,11,4,0,23.472,14.588,6.435
157,내 사랑 내 곁에,박진표,씨제이엔터테인먼트,474,15764312409,2160265,드라마,0,2009,9,4,6,23.481,14.586,6.163
158,신의 한 수: 귀수편,리건,씨제이이앤엠(주),1246,18390955050,2146764,범죄,1,2019,11,4,10,23.635,14.579,7.128
159,마이 웨이,강제규,"에스케이플래닛(주),씨제이이앤엠(주)",645,15994803000,2142622,전쟁,1,2011,12,1,17,23.496,14.578,6.471
160,나의 사랑 나의 신부,임찬상,씨네그루(주)다우기술,629,16592056305,2135614,멜로/로맨스,1,2014,10,4,7,23.532,14.574,6.446
161,굿바이 싱글,김태곤,(주)쇼박스,841,16912706195,2108273,코미디,1,2016,6,3,18,23.551,14.561,6.736
162,몽타주,정근섭,(주)넥스트엔터테인먼트월드(NEW),540,15000722500,2095375,스릴러,1,2013,5,2,13,23.431,14.555,6.293
163,명당,박희곤,메가박스중앙(주)플러스엠,1117,17900775524,2087474,사극,0,2018,9,4,11,23.608,14.551,7.019
164,내부자들: 디 오리지널,우민호,(주)쇼박스,838,16973885275,2083999,범죄,3,2015,12,1,10,23.555,14.55,6.732
165,쩨쩨한 로맨스,김정훈,롯데쇼핑㈜롯데엔터테인먼트,463,15901620661,2080574,코미디,3,2010,12,1,18,23.49,14.548,6.14
166,뷰티 인사이드,백,(주)넥스트엔터테인먼트월드(NEW),648,16152717131,2053947,판타지,0,2015,8,3,19,23.505,14.535,6.475
167,봉이 김선달,박대민,씨제이이앤엠(주),942,16172133642,2044564,사극,0,2016,7,3,11,23.507,14.531,6.849
168,남자가 사랑할 때,한동욱,(주)넥스트엔터테인먼트월드(NEW),531,14510222300,1979311,멜로/로맨스,1,2014,1,1,7,23.398,14.498,6.277
169,협상,이종석,씨제이이앤엠(주),919,17032133166,1967721,범죄,1,2018,9,4,10,23.558,14.492,6.824
170,애자,정기훈,(주)시너지하우스 (시너지),262,13785879439,1922634,드라마,1,2009,9,4,6,23.347,14.469,5.572
171,그림자 살인,박대민,씨제이엔터테인먼트,387,12805808556,1914779,미스터리,1,2009,4,2,9,23.273,14.465,5.961
172,내안의 그놈,강효진,"(주)메리크리스마스,TCO(주)더콘텐츠온",1041,16293580567,1901684,판타지,1,2019,1,1,19,23.514,14.458,6.949
173,오늘의 연애,박진표,씨제이이앤엠(주),709,14924654487,1891993,멜로/로맨스,1,2015,1,1,7,23.426,14.453,6.565
174,글러브,강우석,씨제이엔터테인먼트,605,13757574500,1888100,드라마,2,2011,1,1,6,23.345,14.451,6.407
175,해결사,권혁재,"(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브",524,14063913437,1873327,액션,1,2010,9,4,15,23.367,14.443,6.263
176,연애의 온도,노덕,롯데쇼핑㈜롯데엔터테인먼트,567,13798864446,1865195,멜로/로맨스,3,2013,3,2,7,23.348,14.439,6.342
177,아이들...,이규만,롯데쇼핑㈜롯데엔터테인먼트,504,13562608500,1864408,범죄,1,2011,2,1,10,23.331,14.438,6.225
178,마약왕,우민호,(주)쇼박스,1297,16222446942,1864076,범죄,3,2018,12,1,10,23.51,14.438,7.169
179,코리아,문현성,씨제이이앤엠(주),537,13334762500,1857392,드라마,0,2012,5,2,6,23.314,14.435,6.288
180,노무현입니다,이창재,"CGV아트하우스,영화사 풀",775,14554935612,1854867,다큐멘터리,0,2017,5,2,5,23.401,14.433,6.654
181,집으로 가는 길,방은진,씨제이이앤엠(주),740,13048519745,1854625,드라마,1,2013,12,1,6,23.292,14.433,6.608
182,악마를 보았다,김지운,(주)쇼박스,494,14148937025,1848418,스릴러,3,2010,8,3,13,23.373,14.43,6.205
183,뺑반,한준희,(주)쇼박스,1285,15222811848,1826714,범죄,1,2019,1,1,10,23.446,14.418,7.159
184,나의 PS 파트너,변성현,씨제이이앤엠(주),552,13845218616,1823116,멜로/로맨스,3,2012,12,1,7,23.351,14.416,6.315
185,변신,김홍선,(주)에이스메이커무비웍스,975,15417922925,1804112,공포(호러),1,2019,8,3,3,23.459,14.406,6.883
186,차우,신정원,롯데쇼핑㈜롯데엔터테인먼트,397,12676951144,1799356,액션,0,2009,7,3,15,23.263,14.403,5.986
187,공범,국동석,씨제이이앤엠(주),611,12333110882,1766285,스릴러,1,2013,10,4,13,23.236,14.384,6.417
188,대호,박훈정,(주)넥스트엔터테인먼트월드(NEW),892,13489904632,1762742,사극,0,2015,12,1,11,23.325,14.382,6.795
189,전설의 주먹,강우석,씨제이이앤엠(주),724,12732236500,1737253,드라마,3,2013,4,2,6,23.267,14.368,6.586
190,제보자,임순례,메가박스중앙(주)플러스엠,676,13371522302,1735640,드라마,0,2014,10,4,6,23.316,14.367,6.518
191,러브픽션,전계수,(주)넥스트엔터테인먼트월드(NEW),617,13200412500,1726202,멜로/로맨스,1,2012,2,1,7,23.304,14.361,6.426
192,평양성,이준익,롯데쇼핑㈜롯데엔터테인먼트,451,12684530500,1717566,전쟁,0,2011,1,1,17,23.264,14.356,6.114
193,파파로티,윤종찬,(주)쇼박스,552,11808286000,1713891,드라마,1,2013,3,2,6,23.192,14.354,6.315
194,쎄시봉,김현석,씨제이이앤엠(주),829,13509581911,1707487,멜로/로맨스,1,2015,2,1,7,23.327,14.351,6.721
195,불꽃처럼 나비처럼,김용균,(주)쇼박스,437,12447633504,1690294,멜로/로맨스,1,2009,9,4,7,23.245,14.34,6.082
196,피끓는 청춘,이연우,롯데쇼핑㈜롯데엔터테인먼트,679,11688382888,1676040,코미디,1,2014,1,1,18,23.182,14.332,6.522
197,PMC: 더 벙커,김병우,씨제이이앤엠(주),1081,14024838424,1671548,액션,1,2018,12,1,15,23.364,14.329,6.987
198,공모자들,김홍선,"씨너스엔터테인먼트(주),타임스토리그룹(주)",496,12240964500,1646142,범죄,3,2012,8,3,10,23.228,14.314,6.209
199,임금님의 사건수첩,문현성,씨제이이앤엠(주),1054,12648793723,1634403,코미디,0,2017,4,2,18,23.261,14.307,6.961
200,걸캅스,정다원,씨제이이앤엠(주),973,13772604134,1625037,코미디,1,2019,5,2,18,23.346,14.301,6.881
201,우아한 거짓말,이한,CGV아트하우스,555,11694011300,1613392,드라마,0,2014,3,2,6,23.182,14.294,6.321
202,하울링,유하,씨제이이앤엠(주),550,11765293500,1612554,범죄,1,2012,2,1,10,23.188,14.293,6.312
203,두근두근 내 인생,이재용,씨제이이앤엠(주),629,12191623034,1611519,드라마,0,2014,9,4,6,23.224,14.293,6.446
